id,url,normalized_url,source_url,discovered_at,provenance,owner_candidate,locale,freshness,rights_privacy_state,checksum,disposition,evidence_date,notes
url-0015,https://sites.google.com/lps.ufrj.br/jodafons/pee/cpe-782-ica,https://sites.google.com/lps.ufrj.br/jodafons/pee/cpe-782-ica,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,jodafons profile owner,pt-BR,current,public-record,sha256:2ca82937e1d569aefec1bc05e4cbcbf88e400f6b79287a068e4ade75d0c28c2c,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0016,https://sites.google.com/lps.ufrj.br/jodafons/pee/cpe-886-quantum-machine-learning,https://sites.google.com/lps.ufrj.br/jodafons/pee/cpe-886-quantum-machine-learning,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,jodafons profile owner,pt-BR,current,public-record,sha256:7734e3fc7752df24774e66777bb588910aaf191ea3c1c52dafd8edd13664f02a,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0017,https://sites.google.com/lps.ufrj.br/jodafons/pee/rap-2026,https://sites.google.com/lps.ufrj.br/jodafons/pee/rap-2026,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,jodafons profile owner,pt-BR,current,public-record,sha256:7e290b138fdeac5b4ecc51259736a549f1fdd0fe863aa0d13ac50119b2d06944,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0018,https://sites.google.com/lps.ufrj.br/jodafons/gradua%C3%A7%C3%A3o/eel710-instrumenta%C3%A7%C3%A3o-e-t%C3%A9cnicas-de-medidas-202602,https://sites.google.com/lps.ufrj.br/jodafons/gradua%C3%A7%C3%A3o/eel710-instrumenta%C3%A7%C3%A3o-e-t%C3%A9cnicas-de-medidas-202602,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,jodafons profile owner,pt-BR,current,public-record,sha256:76f5a48d818e6f1611592024516ba6b9889c197c9f17aa4aa14e974c82223a34,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0019,https://sites.google.com/lps.ufrj.br/jodafons/orienta%C3%A7%C3%B5es/gradua%C3%A7%C3%A3o,https://sites.google.com/lps.ufrj.br/jodafons/orienta%C3%A7%C3%B5es/gradua%C3%A7%C3%A3o,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,jodafons profile owner,pt-BR,current,public-record,sha256:a93ebc5c278ccd21c52562d7bada2738159697a0772ee7f976ff428796893da8,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0020,https://sites.google.com/lps.ufrj.br/jodafons/oportunidades-de-bolsa,https://sites.google.com/lps.ufrj.br/jodafons/oportunidades-de-bolsa,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,jodafons profile owner,pt-BR,current,public-record,sha256:151e4b818b68f55cea3c6fe12ca2ff35ac822befbb606949cda176bece510803,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0021,https://sites.google.com/lps.ufrj.br/seixas/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/seixas/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,seixas profile owner,pt-BR,current,public-record,sha256:cd231aea9ab55202fdf5d41d74d599d0f49b5b1c9d0c23d4d641855ffa4d7529,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0022,https://sites.google.com/lps.ufrj.br/namourajr/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/namourajr/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,namourajr profile owner,pt-BR,current,public-record,sha256:b1edb8e99e8ef59950856e3cd89c0be8944addacecd86c981ab3ca734d0869a2,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0023,https://sites.google.com/lps.ufrj.br/namourajr/ensino,https://sites.google.com/lps.ufrj.br/namourajr/ensino,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,namourajr profile owner,pt-BR,current,public-record,sha256:3fad4b9c6cd318433e9a39948e5b639bb1523dca655fa8b232e653bd30ab2b97,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0024,https://sites.google.com/lps.ufrj.br/namourajr/ensino/redes-neurais-feedforward-cpe-721,https://sites.google.com/lps.ufrj.br/namourajr/ensino/redes-neurais-feedforward-cpe-721,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,namourajr profile owner,pt-BR,current,public-record,sha256:e323f89118a30b20013eca4a6a198fa820b34b31d6433f5ca5e044b6ad0d7a10,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0025,https://sites.google.com/lps.ufrj.br/namourajr/ensino/sistemas-lineares-i,https://sites.google.com/lps.ufrj.br/namourajr/ensino/sistemas-lineares-i,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,namourajr profile owner,pt-BR,current,public-record,sha256:09b5b9f1d70d458e6fa2c5011219eb3719e6fb1dd4b28adfb2c934d37ffb23ea,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0026,https://sites.google.com/lps.ufrj.br/namourajr/ensino/aprendizado-profundo,https://sites.google.com/lps.ufrj.br/namourajr/ensino/aprendizado-profundo,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,namourajr profile owner,pt-BR,current,public-record,sha256:8b1912ce47198b8340c23982ea9318b2a10a44de820db3ff84bdf4941938ac58,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0027,https://sites.google.com/lps.ufrj.br/namourajr/projetos,https://sites.google.com/lps.ufrj.br/namourajr/projetos,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,namourajr profile owner,pt-BR,current,public-record,sha256:5e475b3629d01d0ff81f87ba37e838b9e109a766f50d1eb784b31559bd818170,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0028,https://sites.google.com/lps.ufrj.br/namourajr/coordena%C3%A7%C3%A3odel,https://sites.google.com/lps.ufrj.br/namourajr/coordena%C3%A7%C3%A3odel,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,namourajr profile owner,pt-BR,current,public-record,sha256:c816d2ef8eaaed781dcae1e48d3250dca15c45185873db0423742b64c75e96bf,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0029,https://sites.google.com/lps.ufrj.br/namourajr/pesquisa,https://sites.google.com/lps.ufrj.br/namourajr/pesquisa,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,namourajr profile owner,pt-BR,current,public-record,sha256:74303e6ec47858545dec05f0f2ff004dd145d1fc37a735dc1c3937cef28529fb,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0030,https://sites.google.com/lps.ufrj.br/lorenzetti/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/lorenzetti/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http-auth-wall,lorenzetti site owner,pt-BR,access-restricted-at-capture,private-excluded,sha256:de10e202eab8c86c15616ce198a4267df3805a623d41a1b12f75e6dab2499aa0,private-excluded,2026-08-30,redirected to Google sign-in; no private access attempted
url-0031,https://sites.google.com/lps.ufrj.br/glance/about,https://sites.google.com/lps.ufrj.br/glance/about,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http-auth-wall,glance site owner,pt-BR,access-restricted-at-capture,private-excluded,sha256:3cadb62f9dd664de73bafa2221e01d6b8ae572b139e4be6262a82a7dc90847ac,private-excluded,2026-08-30,redirected to Google sign-in; no private access attempted
url-0032,https://sites.google.com/lps.ufrj.br/infra/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/infra/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http-auth-wall,infra site owner,pt-BR,access-restricted-at-capture,private-excluded,sha256:ade4346fe41348e3211c88c9737ec220858ea5043d030666e6b35b75369d5704,private-excluded,2026-08-30,redirected to Google sign-in; no private access attempted
url-0033,http://lattes.cnpq.br/7901653289226815,http://lattes.cnpq.br/7901653289226815,https://sites.google.com/lps.ufrj.br/acmq/in%C3%ADcio,2026-08-30T23:03:43Z,live-page-link,ACMQ profile owner,pt-BR,current,externally-maintained,sha256:e07bf8c9b0386daf3d19e7088a1ca072201717681e913f8161d215b8ea78e5d1,link,2026-08-30,external public profile; link rather than migrate
url-0034,http://lattes.cnpq.br/3592331377050716,http://lattes.cnpq.br/3592331377050716,https://sites.google.com/lps.ufrj.br/jodafons/in%C3%ADcio,2026-08-30T23:03:43Z,live-page-link,Jodafons profile owner,pt-BR,current,externally-maintained,sha256:e0ddcf7ac684fe76fbbde5a354d3eb1147911732e0522ef6c7e44567653a2863,link,2026-08-30,external public profile; link rather than migrate
url-0035,http://lattes.cnpq.br/1404632471755241,http://lattes.cnpq.br/1404632471755241,https://sites.google.com/lps.ufrj.br/seixas/in%C3%ADcio,2026-08-30T23:03:43Z,live-page-link,Seixas profile owner,pt-BR,current,externally-maintained,sha256:734d604888f3457c6ee0bba237287354a89ba63d9af2356e5271f68934ab0346,link,2026-08-30,external public profile; link rather than migrate
url-0036,http://lattes.cnpq.br/2696393506316122,http://lattes.cnpq.br/2696393506316122,https://sites.google.com/lps.ufrj.br/namourajr/in%C3%ADcio,2026-08-30T23:03:43Z,live-page-link,Namoura Jr profile owner,pt-BR,current,externally-maintained,sha256:78ddfec10ef74f72f2509ff75627f6ffb07a341b28ed8e5333c03c7741623ad6,link,2026-08-30,external public profile; link rather than migrate
url-0037,https://github.com/jodafons,https://github.com/jodafons,https://sites.google.com/lps.ufrj.br/jodafons/in%C3%ADcio,2026-08-30T23:03:43Z,live-page-link,Jodafons,pt-BR,current,externally-maintained,sha256:41e3f3b8387f5d4a8d572e214c59aec2cbbc1227ee3426a38ff42efc9d1aeb17,link,2026-08-30,external public profile; link rather than migrate
url-0038,https://github.com/natmourajr,https://github.com/natmourajr,https://sites.google.com/lps.ufrj.br/namourajr/in%C3%ADcio,2026-08-30T23:03:43Z,live-page-link,Namoura Jr,pt-BR,current,externally-maintained,sha256:fe09361e994e23bc76db7bf6cd3a27779c761f35760014ec3f7e19f481a62fa3,link,2026-08-30,external public profile; link rather than migrate
url-0039,https://www.embrapii.coppe.ufrj.br/laboratorios/1228/lps-laboratorio-de-processamento-de-sinais,https://www.embrapii.coppe.ufrj.br/laboratorios/1228/lps-laboratorio-de-processamento-de-sinais,https://www.embrapii.coppe.ufrj.br/laboratorios/1228/lps-laboratorio-de-processamento-de-sinais,2026-08-30T23:03:43Z,institutional-profile,COPPE EMBRAPII communications,pt-BR,current,externally-maintained,sha256:841bd1d70b668ae3ecb486d2999259e134347ae04efc913deb624e6bd4adb337,link,2026-08-30,current institutional profile; facts require owner review before migration
url-0040,https://github.com/lps-ufrj-br,https://github.com/lps-ufrj-br,https://api.github.com/orgs/lps-ufrj-br,2026-08-30T23:03:43Z,github-api,LPS GitHub organization owners,pt-BR,current,externally-maintained,sha256:33efa4ffa0b20b26b2d9c96701bd90975b32f9bd34f5aef0524057febfc4eb3b,link,2026-08-30,public organization; GitHub reports is_verified=false
url-0041,https://github.com/lps-ufrj-br/pybeamer,https://github.com/lps-ufrj-br/pybeamer,https://api.github.com/orgs/lps-ufrj-br/repos?type=public&per_page=100,2026-08-30T23:03:43Z,github-api,LPS GitHub organization owners,pt-BR,2025-12-08T22:12:22Z,externally-maintained,sha256:f478e326a948ddd7e9f826ed25253d73dc2bae53b5a0c7c764d493cfe8abd5a4,link,2026-08-30,public repository; license=NOASSERTION
url-0042,https://github.com/lps-ufrj-br/expand-folders,https://github.com/lps-ufrj-br/expand-folders,https://api.github.com/orgs/lps-ufrj-br/repos?type=public&per_page=100,2026-08-30T23:03:43Z,github-api,LPS GitHub organization owners,pt-BR,2025-12-08T22:11:53Z,externally-maintained,sha256:e88b620f9db6763d8a34d2ca3dd1b63194c0eb2fc83457f47834ab311b210870,link,2026-08-30,public repository; license=NOASSERTION
url-0043,https://github.com/lps-ufrj-br/maestro-lightning,https://github.com/lps-ufrj-br/maestro-lightning,https://api.github.com/orgs/lps-ufrj-br/repos?type=public&per_page=100,2026-08-30T23:03:43Z,github-api,LPS GitHub organization owners,pt-BR,2026-06-21T14:40:23Z,externally-maintained,sha256:6ba89a6063e6b45107fec12234101350ad5cb545cced67d0b39ebaa8c7834308,link,2026-08-30,public repository; license=NOASSERTION
url-0044,https://github.com/lps-ufrj-br/datacenter,https://github.com/lps-ufrj-br/datacenter,https://api.github.com/orgs/lps-ufrj-br/repos?type=public&per_page=100,2026-08-30T23:03:43Z,github-api,LPS GitHub organization owners,pt-BR,2026-07-10T22:55:20Z,externally-maintained,sha256:7b3eab055a9f99513e68cc798a2b498cc910234d8cbc15667f83551b30577ce3,link,2026-08-30,public repository; license=NOASSERTION
url-0045,https://github.com/lps-ufrj-br/.github,https://github.com/lps-ufrj-br/.github,https://api.github.com/orgs/lps-ufrj-br/repos?type=public&per_page=100,2026-08-30T23:03:43Z,github-api,LPS GitHub organization owners,pt-BR,2025-12-05T23:48:16Z,externally-maintained,sha256:377ce135d3a32fcec50a91447bb36891c9dd5e93c54d1a0995dd8a3d99985624,link,2026-08-30,public repository; license=NOASSERTION
url-0046,https://github.com/lps-ufrj-br/latex-lps-report-template,https://github.com/lps-ufrj-br/latex-lps-report-template,https://api.github.com/orgs/lps-ufrj-br/repos?type=public&per_page=100,2026-08-30T23:03:43Z,github-api,LPS GitHub organization owners,pt-BR,2026-08-07T18:54:01Z,externally-maintained,sha256:4e12e53ce2adbb0794e02e073cb02a2cb6e5c8a6a4966c29e1e4a38df3358529,link,2026-08-30,public repository; license=NOASSERTION
url-0047,https://github.com/lps-ufrj-br/latex-lps-slides-template,https://github.com/lps-ufrj-br/latex-lps-slides-template,https://api.github.com/orgs/lps-ufrj-br/repos?type=public&per_page=100,2026-08-30T23:03:43Z,github-api,LPS GitHub organization owners,pt-BR,2026-08-05T20:59:10Z,externally-maintained,sha256:07ee79e9bb502dbd49bd96ba2b596c0f6f172b688c2405efbb3ff23dac3913d8,link,2026-08-30,public repository; license=NOASSERTION
url-0048,https://lps-ufrj-br.github.io/datacenter/,https://lps-ufrj-br.github.io/datacenter,https://sites.google.com/lps.ufrj.br/lps/sobre/sobre,2026-08-30T23:03:43Z,live-page-link,LPS GitHub organization owners,pt-BR,current,externally-maintained,sha256:945be8e6ad8d66f15f4e5517445e98cac267fc636ddd870cc86f5e9b8eeb2b21,link,2026-08-30,public technical documentation linked by current LPS site
url-0049,https://lps-ufrj-br.github.io/datacenter/docs/How_to_use_sbatch.html,https://lps-ufrj-br.github.io/datacenter/docs/How_to_use_sbatch.html,https://sites.google.com/lps.ufrj.br/lps/sobre/sobre,2026-08-30T23:03:43Z,live-page-link,LPS GitHub organization owners,pt-BR,current,externally-maintained,sha256:b319f2dd05df4295d95979c8780a4e91d18162a494068be8c61cfd41e5057504,link,2026-08-30,public technical documentation linked by current LPS site
url-0050,https://lps-ufrj-br.github.io/datacenter/docs/How_to_build_a_singularity_image.html,https://lps-ufrj-br.github.io/datacenter/docs/How_to_build_a_singularity_image.html,https://sites.google.com/lps.ufrj.br/lps/sobre/sobre,2026-08-30T23:03:43Z,live-page-link,LPS GitHub organization owners,pt-BR,current,externally-maintained,sha256:cbf31d00e9fa1195f0bdbd8589485e79288fc49faf9d0796ddba91b2732e60a2,link,2026-08-30,public technical documentation linked by current LPS site
url-0051,https://lps-ufrj-br.github.io/datacenter/docs/How_to_use_singularity.html,https://lps-ufrj-br.github.io/datacenter/docs/How_to_use_singularity.html,https://sites.google.com/lps.ufrj.br/lps/sobre/sobre,2026-08-30T23:03:43Z,live-page-link,LPS GitHub organization owners,pt-BR,current,externally-maintained,sha256:1d49b21f771d25cb094c60eeec7a67a8c2777063087ae49353fe2273c62f081a,link,2026-08-30,public technical documentation linked by current LPS site
url-0052,https://lps-ufrj-br.github.io/datacenter/docs/How_to_use_slurm.html,https://lps-ufrj-br.github.io/datacenter/docs/How_to_use_slurm.html,https://sites.google.com/lps.ufrj.br/lps/sobre/sobre,2026-08-30T23:03:43Z,live-page-link,LPS GitHub organization owners,pt-BR,current,externally-maintained,sha256:f4cab4c753572674a226bbb82cbdc411f005f868f33e0376eaa0b73d62237912,link,2026-08-30,public technical documentation linked by current LPS site
url-0053,https://lps-ufrj-br.github.io/maestro-lightning/,https://lps-ufrj-br.github.io/maestro-lightning,https://sites.google.com/lps.ufrj.br/lps/sobre/sobre,2026-08-30T23:03:43Z,live-page-link,LPS GitHub organization owners,pt-BR,current,externally-maintained,sha256:fc963c110752fe6093cd00050b8acb96d9200031a96a037cabc7c4ccaf066ae2,link,2026-08-30,public technical documentation linked by current LPS site
url-0054,https://lps-ufrj-br.github.io/maestro-lightning/docs/How_to_run_the_sequence.html,https://lps-ufrj-br.github.io/maestro-lightning/docs/How_to_run_the_sequence.html,https://sites.google.com/lps.ufrj.br/lps/sobre/sobre,2026-08-30T23:03:43Z,live-page-link,LPS GitHub organization owners,pt-BR,current,externally-maintained,sha256:be9f1a799e0d2fc136081d7b87d5a2ee82707628e4b4f3aa39a5e83e92100b7a,link,2026-08-30,public technical documentation linked by current LPS site
url-0055,http://www.lps.ufrj.br:80/,http://www.lps.ufrj.br/,"https://web.archive.org/cdx/search/cdx?url=lps.ufrj.br/*&output=json&filter=statuscode:200&filter=mimetype:text/html&fl=timestamp,original,statuscode,digest&collapse=urlkey&limit=10000",1998-12-12T03:06:47Z,archive-cdx,LPS web maintainers,und,historical-archive-only,public-record,sha256:e037168194523ce725c40271290abadf3ca7f40ca52513bf90f3ff18ffedd1ee,410,1998-12-12,Wayback CDX capture 1998-12-12; archive is not current truth; CDX digest=TIBMG5XXHIS2KO7DDEFMU23NTKFVXMFL
url-0056,https://www.lps.ufrj.br/admin/index.php,https://www.lps.ufrj.br/admin/index.php,"https://web.archive.org/cdx/search/cdx?url=lps.ufrj.br/*&output=json&filter=statuscode:200&filter=mimetype:text/html&fl=timestamp,original,statuscode,digest&collapse=urlkey&limit=10000",2011-07-06T16:24:01Z,archive-cdx,LPS web maintainers,und,historical-archive-only,private-excluded,sha256:6363eaf1b34d62963f233c4a7c12c2f4b438d456bcfebb7befaf8c1cf45df1e4,private-excluded,2011-07-06,Wayback CDX capture 2011-07-06; archive is not current truth; CDX digest=5CP4M4RSTJH3FSNP5VS4CHD2OICZQV6J
url-0057,http://www.lps.ufrj.br:80/alert.html,http://www.lps.ufrj.br/alert.html,"https://web.archive.org/cdx/search/cdx?url=lps.ufrj.br/*&output=json&filter=statuscode:200&filter=mimetype:text/html&fl=timestamp,original,statuscode,digest&collapse=urlkey&limit=10000",2006-10-31T17:27:38Z,archive-cdx,LPS web maintainers,und,historical-archive-only,public-record,sha256:5a57eca4c2a3034cb7d3d5c03e4fe2c0a85bce5d96a55bd2af72548b26490512,410,2006-10-31,Wayback CDX capture 2006-10-31; archive is not current truth; CDX digest=WRIIAWMKLB2RJZHA5NN74Q3UDQOYLDF3
url-0058,http://www.lps.ufrj.br:80/alumni.htm,http://www.lps.ufrj.br/alumni.htm,"https://web.archive.org/cdx/search/cdx?url=lps.ufrj.br/*&output=json&filter=statuscode:200&filter=mimetype:text/html&fl=timestamp,original,statuscode,digest&collapse=urlkey&limit=10000",2001-04-06T02:28:48Z,archive-cdx,LPS web maintainers,und,historical-archive-only,public-record,sha256:8011f586e73ceb22c2ee312e0d4be002e1807c17bf505800041dd68e365c160c,301,2001-04-06,Wayback CDX capture 2001-04-06; archive is not current truth; CDX digest=OH3HNVKCJINA2TQSSAAN56BA7BHWL3SV
url-0059,http://www.lps.ufrj.br:80/alumni.html,http://www.lps.ufrj.br/alumni.html,"https://web.archive.org/cdx/search/cdx?url=lps.ufrj.br/*&output=json&filter=statuscode:200&filter=mimetype:text/html&fl=timestamp,original,statuscode,digest&collapse=urlkey&limit=10000",2002-07-21T04:43:40Z,archive-cdx,LPS web maintainers,und,historical-archive-only,public-record,sha256:cda597ea0df25f6c3c0419d09e5fceadd7f2fc70d3158bcc8dc6d29215432674,301,2002-07-21,Wayback CDX capture 2002-07-21; archive is not current truth; CDX digest=XK3DVAOAUG5VFV2KJJF75S6PKVB6MUOO
url-0060,https://www.lps.ufrj.br/alumni.php?lang=en,https://www.lps.ufrj.br/alumni.php?lang=en,"https://web.archive.org/cdx/search/cdx?url=lps.ufrj.br/*&output=json&filter=statuscode:200&filter=mimetype:text/html&fl=timestamp,original,statuscode,digest&collapse=urlkey&limit=10000",2011-07-06T16:26:48Z,archive-cdx,LPS web maintainers,und,historical-archive-only,public-record,sha256:a17806ca41a406c8dbb9780b358d999c7198f6461cfe35c3e4bf73c07ad6533c,301,2011-07-06,Wayback CDX capture 2011-07-06; archive is not current truth; CDX digest=HTBDWLUZGH56XVXQVGXJYGW5XDXK3CYE
url-0061,https://www.lps.ufrj.br/alumni.php?lang=pt,https://www.lps.ufrj.br/alumni.php?lang=pt,"https://web.archive.org/cdx/search/cdx?url=lps.ufrj.br/*&output=json&filter=statuscode:200&filter=mimetype:text/html&fl=timestamp,original,statuscode,digest&collapse=urlkey&limit=10000",2012-12-29T13:10:08Z,archive-cdx,LPS web maintainers,und,historical-archive-only,public-record,sha256:b854c6592f5079a26507df82a25ad6d1a49465f9b9e58c555599793a0e60e091,301,2012-12-29,Wayback CDX capture 2012-12-29; archive is not current truth; CDX digest=LZBTPJS5S7ZIP67MXFDGDCV3T6BTIE2K
